ProjectID,ProjectPI,OutputVenue,OutputTitle,OutputVolume,ProjectTitle,ProjectEndYear,OutputType,OutputStatus,Affiliation,DOI,OutputMonth,OutputBiblio,ProjectYearStarted,OutputYear,ProjectRDC,ProjectStartYear,ProjID,ProjectStatus,PredictedTopic,OutputNumber,ProjectYearEnded,OutputPages,Keywords
,Ana M Herrera,'Springer Science and Business Media LLC',"First releases of hatchery‑produced Senegal sole (Solea senegalensis), brill (Scophthalmus rhombus), and wedge sole (Dicologoglossa cuneata) juveniles in the South‑western Spanish coast",850,First releases of hatchery‑produced Senegal sole (Solea senegalensis),,Other,Published,,10.1007/s10750-022-05054-w,1,"Herrera, M., Rodiles, A., Salamanca, N., Navas, J. I., Cordero, M. L., & Hachero, I. (2022). First releases of hatchery-produced Senegal sole (Solea senegalensis), brill (Scophthalmus rhombus), and wedge sole (Dicologoglossa cuneata) juveniles in the South-western Spanish coast. Hydrobiologia, 850(1), 203â214. https://doi.org/10.1007/s10750-022-05054-w
",2022.0,2022.0,Texas,,PROJ_09625,Active,technology,1,2025.0,203-214,"solea senegalensis, senegal sole, senegalensis, senegalensis brill, sole solea"
,Jason Ward,Interchange,On Qualifying Qualitative Research,49,Being at leisure in blue spaces: the role of leisure in amplifying the well-being benefits of the seaside,,Publication,,,10.1007/s10780-018-9313-x,1,"Ward, J. K., Comer, U., & Stone, S. (2018). On Qualifying Qualitative Research: Emerging Perspectives and the âDeerâ (Descriptive, Exploratory, Evolutionary, Repeat) Paradigm. Interchange, 49(1), 133â146. https://doi.org/10.1007/s10780-018-9313-x
",,2018.0,Boston,,PROJ_08556,,cognition sciences,1,,133-146,"qualitative research, qualifying qualitative, qualitative, research, qualifying"
,John R Hipp,"eScholarship, University of California",The Effects of Immigrant Concentration on Changes in Neighborhood Crime Rates,29,The Effects of Immigrant Concentration on Changes in Neighborhood Crime Rates,,Other,Published,,10.1007/s10940-012-9176-8,6,"MacDonald, J. M., Hipp, J. R., & Gill, C. (2012). The Effects of Immigrant Concentration on Changes in Neighborhood Crime Rates. Journal of Quantitative Criminology, 29(2), 191â215. https://doi.org/10.1007/s10940-012-9176-8
",2012.0,2012.0,Boston,,PROJ_03420,Completed,social sciences,2,2015.0,191-215,"crime rates, neighborhood crime, immigrant concentration, effects immigrant, changes neighborhood"
,Justin Denney,Chapman University Digital Commons,Comprehensive Neighborhood Portraits and Child Asthma Disparities Introduction,21,Comprehensive Neighborhood Portraits and Child Asthma Disparities Introduction,,Other,Published,,10.1007/s10995-017-2286-z,2,"Kranjac, A. W., Kimbro, R. T., Denney, J. T., Osiecki, K. M., Moffett, B. S., & Lopez, K. N. (2017). Comprehensive Neighborhood Portraits and Child Asthma Disparities. Maternal and Child Health Journal, 21(7), 1552â1562. https://doi.org/10.1007/s10995-017-2286-z
",2017.0,2017.0,Texas,,PROJ_09789,Completed,public health,7,2020.0,1552-1562,"asthma disparities, child asthma, asthma, neighborhood portraits, neighborhood"
,Jan L Youtie,Springer Netherlands,How interdisciplinary is nanotechnology?,11,How interdisciplinary is nanotechnology?,,Other,Published,,10.1007/s11051-009-9607-0,1,"Porter, A. L., & Youtie, J. (2009). How interdisciplinary is nanotechnology? Journal of Nanoparticle Research, 11(5), 1023â1041. https://doi.org/10.1007/s11051-009-9607-0
",2009.0,2009.0,Atlanta,,PROJ_05930,Completed,technology,5,2012.0,1023-1041,"interdisciplinary nanotechnology, nanotechnology, interdisciplinary"
,Erin Hofmann,Hosted by Utah State University Libraries,Geographic Variation in Sex Ratios of the US Immigrant Population: Identifying Sources of Difference,37,Geographic Variation in Sex Ratios of the US Immigrant Population: Identifying Sources of Difference,,Other,Published,,10.1007/s11113-018-9469-1,5,"Hofmann, E. T., & Reiter, E. M. (2018). Geographic Variation in Sex Ratios of the US Immigrant Population: Identifying Sources of Difference. Population Research and Policy Review, 37(3), 485â509. https://doi.org/10.1007/s11113-018-9469-1
",2018.0,2018.0,Minnesota,,PROJ_12826,Completed,social sciences,3,2021.0,485-509,"immigrant population, ratios immigrant, sex ratios, variation sex, immigrant"
,Abraham Flaxman,PDXScholar,Reconstruction of Age Distributions from Differentially Private Census data,41,Reconstruction of Age Distributions from Differentially Private Census data,,Other,Published,,10.1007/s11113-022-09734-2,1,"Dyrting, S., Flaxman, A., & Sharygin, E. (2022). Reconstruction of age distributions from differentially private census data. Population Research and Policy Review, 41(6), 2311â2329. https://doi.org/10.1007/s11113-022-09734-2
",2022.0,2022.0,Minnesota,,PROJ_11028,Active,social sciences,6,2025.0,2311-2329,"private census, census data, age distributions, census, differentially private"
,Henry Friedman,ScholarlyCommons,"Taste, Information, and Asset Prices: Implications for the Valuation of CSR",21,Taste,,Other,Published,,10.1007/s11142-016-9359-x,9,"Friedman, H. L., & Heinle, M. S. (2016). Taste, information, and asset prices: implications for the valuation of CSR. Review of Accounting Studies, 21(3), 740â767. https://doi.org/10.1007/s11142-016-9359-x
",2016.0,2016.0,Northwest,,PROJ_09008,Completed,cognition sciences,3,2019.0,740-767,"valuation csr, implications valuation, asset prices, valuation, prices implications"
,Meredith A Minkler,Springer US,"Sí Se Puede: Using Participatory Research to Promote Environmental Justice in a Latino Community in San Diego, California",87,Sí Se Puede: Using Participatory Research to Promote Environmental Justice in a Latino Community in San Diego,,Other,Published,,10.1007/s11524-010-9490-0,1,"Minkler, M., Garcia, A. P., Williams, J., LoPresti, T., & Lilly, J. (2010). SÃ­ Se Puede: Using Participatory Research to Promote Environmental Justice in a Latino Community in San Diego, California. Journal of Urban Health, 87(5), 796â812. https://doi.org/10.1007/s11524-010-9490-0
",2010.0,2010.0,Chicago,,PROJ_01320,Completed,environmental studies,5,2013.0,796-812,"latino community, justice latino, participatory research, environmental justice, participatory"
,Keren M Horn,Race and Social Problems,Stable School Integration?,15,Stable fermion mass matrices and the charged lepton contribution to neutrino mixing,,Publication,,,10.1007/s12552-021-09349-w,9,"Francis, D. V., & Horn, K. M. (2021). Stable School Integration? Race and Social Problems, 15(3), 215â228. https://doi.org/10.1007/s12552-021-09349-w
",,2023.0,Yale,,PROJ_05335,,physical sciences,3,,215-228,"school integration, stable school, integration, school, stable"
,Michael A Stanko,Ludwig-Maximilians-Universität München,"Incumbent inertia, innovativeness, and performance (dis)advantages: A demand-side learning perspective",14,Association of baseline hematoma and edema volumes with one-year outcome and long-term survival after spontaneous intracerebral hemorrhage: A community-based inception cohort study,,Other,Published,,10.1007/s13162-024-00281-x,7,"Bohlmann, J. D., Stanko, M. A., & Spanjol, J. (2024). Incumbent inertia, innovativeness, and performance (dis)advantages: A demand-side learning perspective. AMS Review, 14(1â2), 122â142. https://doi.org/10.1007/s13162-024-00281-x
",2021.0,2024.0,Boston,,PROJ_04028,Completed,medicine,01-Feb,2024.0,122-142,"inertia innovativeness, innovativeness performance, innovativeness, advantages demand, demand learning"
,Bryan K Bollinger,"eScholarship, University of California",How Context Affects Choice,5,Structure-Preserving 3D Garment Modeling with Neural Sewing Machines,,Other,Published,,10.1007/s40547-017-0084-9,11,"Thomadsen, R., Rooderkerk, R. P., Amir, O., Arora, N., Bollinger, B., Hansen, K., John, L., Liu, W., Sela, A., Singh, V., Sudhir, K., & Wood, W. (2017). How Context Affects Choice. Customer Needs and Solutions, 5(1â2), 3â14. https://doi.org/10.1007/s40547-017-0084-9
",2014.0,2017.0,Yale,,PROJ_00237,Completed,technology,01-Feb,2017.0,Mar-14,"affects choice, context affects, context, choice, affects"
,Claire Altman,Journal of Racial and Ethnic Health Disparities,The Intersection of State-Level Immigrant Policy Climates and Medicaid Expansion: an Examination Among Immigrants,10,The Limits of New Public Management: A Case Study of Indigenous Affairs,,Publication,,,10.1007/s40615-022-01399-z,8,"Altman, C. E., Hamilton, C., & Dondero, M. (2022). The Intersection of State-Level Immigrant Policy Climates and Medicaid Expansion: an Examination Among Immigrants. Journal of Racial and Ethnic Health Disparities, 10(5), 2195â2206. https://doi.org/10.1007/s40615-022-01399-z
",,2023.0,Missouri,,PROJ_09820,,governance and politics,5,,2195-2206,"medicaid expansion, immigrant policy, immigrants, climates medicaid, immigrant"
,Francine Lafontaine,'Elsevier BV',The evolution of ownership patterns in franchise systems,70,The evolution of ownership patterns in franchise systems,,Other,Published,,10.1016/0022-4359(94)90010-8,1,"Lafontaine, F., & Kaufmann, P. J. (1994). The evolution of ownersip patterns in franchise systems. Journal of Retailing, 70(2), 97â113. https://doi.org/10.1016/0022-4359(94)90010-8
",1994.0,1994.0,Minnesota,,PROJ_05479,Completed,history,2,1997.0,97-113,"franchise systems, ownership patterns, patterns franchise, franchise, evolution ownership"
,El-Serag,DigitalCommons@TMC,Neighborhood-Level Factors Contribute to Disparities in Hepatocellular Carcinoma Incidence in Texas,21,Neighborhood-Level Factors Contribute to Disparities in Hepatocellular Carcinoma Incidence in Texas,,Other,Published,,10.1016/j.cgh.2022.06.031,8,"Oluyomi, A. O., El-Serag, H. B., Olayode, A., & Thrift, A. P. (2023). Neighborhood-Level Factors Contribute to Disparities in Hepatocellular Carcinoma Incidence in Texas. Clinical Gastroenterology and Hepatology, 21(5), 1314-1322.e5. https://doi.org/10.1016/j.cgh.2022.06.031
",2023.0,2022.0,Texas,,PROJ_14102,Active,public health,5,2026.0,1314-1322.e5,"disparities hepatocellular, hepatocellular carcinoma, carcinoma incidence, incidence texas, neighborhood level"
,Zachary Ward,'Elsevier BV',Life after crossing the border : assimilation during the first Mexican mass migration,82,Life after crossing the border : assimilation during the first Mexican mass migration,,Other,Published,,10.1016/j.eeh.2021.101403,4,"Escamilla-Guerrero, D., Kosack, E., & Ward, Z. (2021). Life after crossing the border: Assimilation during the first Mexican mass migration. Explorations in Economic History, 82, 101403. https://doi.org/10.1016/j.eeh.2021.101403
",2023.0,2023.0,Chicago,,PROJ_12576,Active,history,,2026.0,101403,"assimilation mexican, border assimilation, mexican, assimilation, mexican mass"
,Akbulut-Yuksel,Elsevier,Silver lining of the water: The role of government relief assistance in disaster recovery,79,Silver lining of the water: The role of government relief assistance in disaster recovery,,Other,Published,,10.1016/j.ejpoleco.2023.102436,9,"Akbulut-Yuksel, M., Rahman, M. H., & UlubaÅoÄlu, M. A. (2023). Silver lining of the water: The role of government relief assistance in disaster recovery. European Journal of Political Economy, 79, 102436. https://doi.org/10.1016/j.ejpoleco.2023.102436
",2023.0,2023.0,Florida,,PROJ_14106,Active,governance and politics,,2026.0,102436,"assistance disaster, government relief, disaster recovery, relief assistance, disaster"
,Michael Sykuta,Energy,Forecasting energy poverty using different machine learning techniques for Missouri,313,Farmer trust in producer- and investor-owned firms: Evidence from Missouri corn and soybean producers,,Publication,,,10.1016/j.energy.2024.133904,12,"Balkissoon, S., Fox, N., Lupo, A., Haupt, S. E., Penny, S. G., Miller, S. J., Beetstra, M., Sykuta, M., & Ohler, A. (2024). Forecasting energy poverty using different machine learning techniques for Missouri. Energy, 313, 133904. https://doi.org/10.1016/j.energy.2024.133904
",,2024.0,Missouri,,PROJ_00486,,cognition sciences,,,133904,"energy poverty, forecasting energy, poverty using, poverty, forecasting"
,Dan L. Crouse,'Elsevier BV',Associations between ambient air pollution and daily mortality in a cohort of congestive heart failure: Case-crossover and nested case-control analyses using a distributed lag nonlinear model.,113,Ambient PM <sub>2.5</sub>,,Other,Published,,10.1016/j.envint.2018.01.003,2,"Buteau, S., Goldberg, M. S., Burnett, R. T., Gasparrini, A., Valois, M.-F., Brophy, J. M., Crouse, D. L., & Hatzopoulou, M. (2018). Associations between ambient air pollution and daily mortality in a cohort of congestive heart failure: Case-crossover and nested case-control analyses using a distributed lag nonlinear model. Environment International, 113, 313â324. https://doi.org/10.1016/j.envint.2018.01.003
",2015.0,2018.0,Atlanta,,PROJ_13760,Completed,communications,,2018.0,313-324,"air pollution, daily mortality, mortality cohort, mortality, pollution daily"
,Stephan Goetz,The Authors. Published by Elsevier B.V.,Supply chain complexity and risk mitigation – A hybrid optimization–simulation model ,179,Supply chain complexity and risk mitigation – A hybrid optimization–simulation model,,Other,Published,,10.1016/j.ijpe.2016.06.014,9,"Ge, H., Nolan, J., Gray, R., Goetz, S., & Han, Y. (2016). Supply chain complexity and risk mitigation â A hybrid optimizationâsimulation model. International Journal of Production Economics, 179, 228â238. https://doi.org/10.1016/j.ijpe.2016.06.014
",2016.0,2016.0,Northwest,,PROJ_08816,Completed,mathematics and data science,,2019.0,228-238,"supply chain, complexity risk, optimization simulation, risk mitigation, risk"
,Charles I Mead,'Elsevier BV',Convergent genetic and expression data implicate immunity in Alzheimer's disease,11,Convergent genetic and expression data implicate immunity in Alzheimer's disease,,Other,Published,"Institute of Psychological Medicine and Clinical Neurosciences Cardiff University, Hadyn Ellis Building  Maindy Road Cardiff CF24 4HQ",10.1016/j.jalz.2014.05.1757,1,"Jones, L., Lambert, J., Wang, L., Choi, S., Harold, D., Vedernikov, A., EscottâPrice, V., Stone, T., Richards, A., Bellenguez, C., IbrahimâVerbaas, C. A., Naj, A. C., Sims, R., Gerrish, A., Jun, G., DeStefano, A. L., Bis, J. C., Beecham, G. W., â¦ Holmans, P. A. (2014). Convergent genetic and expression data implicate immunity in Alzheimerâs disease. Alzheimerâs &amp; Dementia, 11(6), 658â671. Portico. https://doi.org/10.1016/j.jalz.2014.05.1757
",2015.0,2015.0,Boston,,PROJ_02183,Completed,cognition sciences,6,2018.0,658-671,"immunity alzheimer, alzheimer disease, alzheimer, implicate immunity, genetic expression"
,Robert J Kurtzman,Journal of Banking &amp; Finance,Did QE lead banks to relax their lending standards? Evidence from the Federal Reserve’s LSAPs,138,Foreign Policy Analysis in the Twenty-First Century: Back to Comparison,,Publication,,,10.1016/j.jbankfin.2018.08.009,5,"Kurtzman, R., Luck, S., & Zimmermann, T. (2022). Did QE lead banks to relax their lending standards? Evidence from the Federal Reserveâs LSAPs. Journal of Banking &amp; Finance, 138, 105403. https://doi.org/10.1016/j.jbankfin.2018.08.009
",,2022.0,Kansas City,,PROJ_06954,,cognition sciences,,,105403,"lending standards, banks relax, federal reserve, banks, did qe"
,John R Hipp,"eScholarship, University of California","It's all relative: Concentrated disadvantage within and across neighborhoods and communities, and the consequences for neighborhood crime",43,It's all relative: Concentrated disadvantage within and across neighborhoods and communities,,Other,Published,,10.1016/j.jcrimjus.2015.08.004,11,"Chamberlain, A. W., & Hipp, J. R. (2015). Itâs all relative: Concentrated disadvantage within and across neighborhoods and communities, and the consequences for neighborhood crime. Journal of Criminal Justice, 43(6), 431â443. https://doi.org/10.1016/j.jcrimjus.2015.08.004
",2015.0,2015.0,Chicago,,PROJ_03419,Completed,psychology,6,2018.0,431-443,"disadvantage neighborhoods, neighborhood crime, consequences neighborhood, neighborhoods, neighborhoods communities"
